id,robot_x,robot_y,robot_z,cv_x,cv_y,cv_z
80,249.232,257.977,0.838,530.0,286.5,
81,397.9895,257.3885,1.032,832.25,281.4,
82,546.747,256.8,1.226,1134.91,277.22,
83,248.0515,158.2855,0.6875,532.6,487.74,
84,396.85175,157.57675,0.74825,835.46,483.51,
86,545.652,156.868,0.809,1137.61,478.52,
87,246.871,58.594,0.537,535.07,689.51,
88,395.714,57.765,0.4645,838.25,684.63,
91,544.557,56.936,0.392,1140.36,679.56,
